Product Name,Category,Sub-category,Company,Retail Price,Consumer Price,Bulk Price,Bulk Limit,imageUrl,imageUrl
Disco Wicked Fizz Bubble Rs.5 (100 Pcs) (3 Lipstick Free),Sour & Sweets,Bubble,JoJo,515,440,420,,https://admin.dealcart.io/products/medium-1754463078621-Disco%20Bakery%20Cake%20Rusk%20%20250%C2%A0gm..webp,https://admin.dealcart.io/products/medium-1754463078621-Disco%20Bakery%20Cake%20Rusk%20%20250%C2%A0gm..webp
Fizzy Speckle Bubble Box Rs.5 (24 Pcs),Sour & Sweets,Bubble,JoJo,120,100,100,,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp
Joe Soft Jar Rs.5 (100 Pcs),Sour & Sweets,Bubble,JoJo,500,430,420,,https://admin.dealcart.io/products/medium-1761570537170-Molfix%20CC%20UV%20Mini%20Mega%20Pack%20100%20Pcs..webp,https://admin.dealcart.io/products/medium-1761570537170-Molfix%20CC%20UV%20Mini%20Mega%20Pack%20100%20Pcs..webp
Joe Soft Bubble Gum Rs.5 (50 Pcs),Sour & Sweets,Bubble,JoJo,250,215,210,,https://admin.dealcart.io/products/medium-1731498484471-My%20Champ%20New%20Born%20%2850%20Pcs%29..webp,https://admin.dealcart.io/products/medium-1731498484471-My%20Champ%20New%20Born%20%2850%20Pcs%29..webp
Colour Pencil Bubble Rs.10 (24 Pcs),Sour & Sweets,Bubble,JoJo,240,215,210,,,
Tennis Bubble Rs.5 (80 Pcs),Sour & Sweets,Bubble,Marleen,400,310,300,,https://admin.dealcart.io/36_store_Mon%20Nov%2003%202025%2020%3A28%3A20%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29,https://admin.dealcart.io/36_store_Mon%20Nov%2003%202025%2020%3A28%3A20%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29
Globe Bubble Rs.5 (80 Pcs),Sour & Sweets,Bubble,Marleen,400,310,300,,https://admin.dealcart.io/products/medium-1762776392076-Ponds%20Hydra%20Miracle%20Barrier%20Strengthening%20Serum%2015%20ml%20%2B%20Ice%20Globe%20Face%20Roller..webp,https://admin.dealcart.io/products/medium-1762776392076-Ponds%20Hydra%20Miracle%20Barrier%20Strengthening%20Serum%2015%20ml%20%2B%20Ice%20Globe%20Face%20Roller..webp
Shocker Chew Bar Mix Rs.5 (36 Pcs),Sour & Sweets,Bubble,Marleen,180,150,135,,https://admin.dealcart.io/products/medium-1741070935177-Bento%20Lunch%20Box%20M-1%20Pack%20of%202%20-%20%28600ml%29%20With%20Sticker%20-%20Kids-D.Green..webp,https://admin.dealcart.io/products/medium-1741070935177-Bento%20Lunch%20Box%20M-1%20Pack%20of%202%20-%20%28600ml%29%20With%20Sticker%20-%20Kids-D.Green..webp
Bubble Your Name Rs.5 (50 Pcs),Sour & Sweets,Bubble,Candyland,250,220,215,,https://admin.dealcart.io/products/medium-1707769824681-Sada%20Paper%20Soap%201..webp,https://admin.dealcart.io/products/medium-1707769824681-Sada%20Paper%20Soap%201..webp
BUBBLE POP GUM Rs.5 (50 Pcs),Sour & Sweets,Bubble,Candyland,250,220,215,,https://admin.dealcart.io/products/medium-1757071629991-Bubble%20Pop%20Rs..webp,https://admin.dealcart.io/products/medium-1757071629991-Bubble%20Pop%20Rs..webp
Ding Dong - Big Bubble (50 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1706536787151-977538195..webp,https://admin.dealcart.io/products/medium-1706536787151-977538195..webp
Fresh Up Spearmint (36 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1721651419213-Fresh%20Up%20Spearmint%20Rs..webp,https://admin.dealcart.io/products/medium-1721651419213-Fresh%20Up%20Spearmint%20Rs..webp
Fresh Up Strawberry (36 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1717840266567-Frship%20strw..webp,https://admin.dealcart.io/products/medium-1717840266567-Frship%20strw..webp
Fresh Up Xtra Super mint (50 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1717840115995-Fsup%20Grn..webp,https://admin.dealcart.io/products/medium-1717840115995-Fsup%20Grn..webp
Fresh Up Xtra Strawberry (50 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1717840266567-Frship%20strw..webp,https://admin.dealcart.io/products/medium-1717840266567-Frship%20strw..webp
Ding Dong Jumbo (50 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1739788152989-Ding%20Dong%20Jumbo%20Rs.%205%20%281x50%29..webp,https://admin.dealcart.io/products/medium-1739788152989-Ding%20Dong%20Jumbo%20Rs.%205%20%281x50%29..webp
Ding Dong - Original (72 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1739788152989-Ding%20Dong%20Jumbo%20Rs.%205%20%281x50%29..webp,https://admin.dealcart.io/products/medium-1739788152989-Ding%20Dong%20Jumbo%20Rs.%205%20%281x50%29..webp
Wispy Twin Chocolate (12 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1725084397268-Wispy_11zon..webp,https://admin.dealcart.io/products/medium-1725084397268-Wispy_11zon..webp
Wispy Twin Strawberry (12 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1718981655076-Wispy%20Rolls%20Strawberry%20Rs.%2010..webp,https://admin.dealcart.io/products/medium-1718981655076-Wispy%20Rolls%20Strawberry%20Rs.%2010..webp
Wispy Twin Chocolate (24 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1725084397268-Wispy_11zon..webp,https://admin.dealcart.io/products/medium-1725084397268-Wispy_11zon..webp
Wispy Twin Strawberry (24 pcs),Sour & Sweets,Bubble,Hilal,,,,,https://admin.dealcart.io/products/medium-1718981655076-Wispy%20Rolls%20Strawberry%20Rs.%2010..webp,https://admin.dealcart.io/products/medium-1718981655076-Wispy%20Rolls%20Strawberry%20Rs.%2010..webp
Badami Bar lollipop Rs.5 (36 Pcs),Sour & Sweets,lollipops,Marleen,180,150,135,,https://admin.dealcart.io/products/medium-1741246612186-Wall%27s%20Royal%20Badami%20Tub%20700ml..webp,https://admin.dealcart.io/products/medium-1741246612186-Wall%27s%20Royal%20Badami%20Tub%20700ml..webp
Rangeela Bar Lollipop Rs.5 (36 Pcs),Sour & Sweets,lollipops,Marleen,180,150,135,,https://admin.dealcart.io/products/medium-1762148574014-full-1729322967959-Shan%20Korma%20Masala%20-%20Rs270._11zon..webp,https://admin.dealcart.io/products/medium-1762148574014-full-1729322967959-Shan%20Korma%20Masala%20-%20Rs270._11zon..webp
